~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_data_export_ammo_box_size,st_upgr_cost,BR1,BR2,BR3,BR4,BR5,BR6,BR7,st_data_export_projectiles,ui_inv_damage,ui_inv_accuracy,ui_inv_wrange,st_data_export_falloff,ui_inv_bspeed,st_data_export_impulse,st_data_export_weapon_degradation,st_data_export_k_hit,st_data_export_k_ap,st_data_export_k_air_resistance
ammo_11.43x23_fmj,ammo-11.43x23-fmj,ammo-11.43x23-fmj_descr,0.29,14,950,,,20,,,,,1,0.74,66%,100%,82%,187%,55%,40%,0.74,0.02,0.82
ammo_11.43x23_hydro,ammo-11.43x23-hydro,ammo-11.43x23-hydro_descr,0.23,14,1425,10,,,,,,,1,1.64,66%,100%,82%,187%,70%,40%,1.64,0.01,0.82
ammo_12.7x55_ap,ammo_12.7x55_ap,ammo_12.7x55_ap_descr,0.44,10,6900,,,,,,,75,1,1.2,66%,100%,75%,80%,280%,40%,1.2,0.075,0.75
ammo_12.7x55_fmj,ammo-12.7x55-fmj,ammo-12.7x55-fmj_descr,0.44,10,3000,,,,38,,,,1,1.2,66%,100%,75%,80%,280%,40%,1.2,0.038,0.75
ammo_12x70_buck,ammo-12x70-buck,ammo-12x70-buck_descr,0.45,10,1000,3,,,,,,,9,0.42,400%,75%,100%,142%,50%,40%,0.42,0.003,1
ammo_12x70_buck_self,ammo-12x70-buck_self,ammo-12x70-buck_self_descr,0.52,10,460,3,,,,,,,11,0.3,500%,70%,200%,142%,25%,100%,0.3,0.003,2
ammo_12x76_bull,ammo-12x76-bull,ammo-12x76-bull_descr,0.60,10,5000,,,,,40,,,1,2.5,50%,100%,100%,100%,100%,40%,2.5,0.04,1
ammo_12x76_dart,ammo-12x76-dart,ammo-12x76-dart_descr,0.40,10,5000,,,,,42,,,1,1.52,33%,100%,80%,125%,190%,105%,1.52,0.042,0.8
ammo_12x76_zhekan,ammo-12x76-zhekan,ammo-12x76-zhekan_descr,0.45,10,1650,,,24,,,,,1,2.7,50%,90%,80%,120%,190%,105%,2.7,0.024,0.8
ammo_20x70_buck,ammo_20x70_buck,ammo_20x70_buck_descr,0.35,10,600,3,,,,,,,9,0.3,380%,75%,100%,100%,70%,105%,0.3,0.003,1
ammo_23_eco,ammo_23_eco,ammo_23_eco_descr,0.05,1,3500,,12,,,,,,1,1,50%,100%,15%,100%,15%,40%,1,0.012,0.15
ammo_23x75_barrikada,ammo_23x75_barrikada,ammo_23x75_barrikada_descr,0.50,10,7000,,,,,,54,,1,4.2,66%,100%,70%,150%,400%,105%,4.2,0.054,0.7
ammo_23x75_shrapnel,ammo_23x75_shrapnel,ammo_23x75_shrapnel_descr,0.45,10,2000,6,,,,,,,6,1.5,250%,100%,80%,110%,350%,105%,1.5,0.006,0.8
ammo_338_federal,ammo_338_federal,ammo_338_federal_descr,0.42,10,4000,8,,,,,,,1,10.7,67%,100%,5%,150%,200%,40%,10.7,0.008,0.05
ammo_357_hp_mag,ammo-357-hp,ammo-357-hp_descr,0.21,13,2600,,,19,,,,,1,2.6,50%,100%,80%,150%,75%,40%,2.6,0.019,0.8
ammo_4.6x30_fmj,ammo-4.6x30-fmj,ammo-4.6x30-fmj_descr,0.09,15,3000,,,25,,,,,1,1,66%,100%,80%,100%,36%,40%,1,0.025,0.8
ammo_5.45x39_ap,ammo-5.45x39-ap,ammo-5.45x39-ap_descr,0.16,15,5100,,,,,,47,,1,1.1,66%,100%,25%,150%,55%,40%,1.1,0.047,0.25
ammo_5.45x39_ep,ammo-5.45x39-ep,ammo-5.45x39-ep_descr,0.16,15,1600,10,,,,,,,1,1.75,66%,100%,25%,150%,55%,40%,1.75,0.01,0.25
ammo_5.45x39_fmj,ammo-5.45x39-fmj,ammo-5.45x39-fmj_descr,0.16,15,1350,,,27,,,,,1,1.14,66%,100%,25%,150%,60%,40%,1.14,0.027,0.25
ammo_5.56x45_ap,ammo-5.56x45-ap,ammo-5.56x45-ap_descr,0.18,15,4100,,,,,,52,,1,1.05,66%,100%,20%,160%,54%,40%,1.05,0.052,0.2
ammo_5.56x45_fmj,ammo-5.56x45-fmj,ammo-5.56x45-fmj_descr,0.17,15,1500,,,29,,,,,1,1.05,66%,100%,20%,160%,57%,40%,1.05,0.029,0.2
ammo_5.56x45_ss190,ammo-5.56x45-ss190,ammo-5.56x45-ss190_descr,0.18,15,1600,,13,,,,,,1,1.57,66%,100%,20%,160%,57%,40%,1.57,0.013,0.2
ammo_5.7x28_ss190,ammo-5.7x28-ss190,ammo-5.7x28-ss190_descr,0.09,20,2600,,,,,40,,,1,0.69,66%,100%,30%,150%,36%,40%,0.69,0.04,0.3
ammo_5.7x28_ss195,ammo-5.7x28-ss195,ammo-5.7x28-ss195_descr,0.10,20,1275,,,25,,,,,1,0.69,66%,100%,30%,150%,100%,40%,0.69,0.025,0.3
ammo_50_bmg,ammo-50-bmg,ammo-50-bmg_descr,0.33,15,27200,,,,,,,190,1,1.5,90%,100%,35%,100%,190%,40%,1.5,0.19,0.35
ammo_7.62x25_p,ammo-7.62x25-p,ammo-7.62x25-p_descr,0.17,16,875,8,,,,,,,1,0.7,70%,100%,35%,187%,70%,40%,0.7,0.008,0.35
ammo_7.62x25_ps,ammo-7.62x25-ps,ammo-7.62x25-ps_descr,0.17,16,975,,,25,,,,,1,0.7,68%,100%,35%,187%,50%,40%,0.7,0.025,0.35
ammo_7.62x39_ap,ammo-7.62x39_ap,ammo-7.62x39_ap_descr,0.24,15,5450,,,,,,,55,1,1.17,75%,100%,30%,120%,60%,40%,1.17,0.055,0.3
ammo_7.62x39_fmj,ammo-7.62x39_fmj,ammo-7.62x39_fmj_descr,0.24,15,1950,,,,30,,,,1,1.17,75%,100%,30%,120%,66%,40%,1.17,0.03,0.3
ammo_7.62x51_ap,ammo-7.62x51_ap,ammo-7.62x51_ap_descr,0.38,15,7500,,,,,,,62,1,0.89,50%,100%,25%,150%,50%,40%,0.89,0.062,0.25
ammo_7.62x51_fmj,ammo-7.62x51_fmj,ammo-7.62x51_fmj_descr,0.38,15,3000,,,,34,,,,1,0.89,50%,100%,25%,150%,66%,40%,0.89,0.034,0.25
ammo_7.62x54_7h1,ammo-7.62x54-7n1,ammo-7.62x54-7n1_descr,0.22,10,2250,,,,30,,,,1,0.85,66%,100%,25%,150%,150%,40%,0.85,0.03,0.25
ammo_7.62x54_7h14,ammo-7.62x54_7n14,ammo-7.62x54_7n14_descr,0.22,10,4000,,,,,45,,,1,0.85,66%,100%,25%,150%,150%,40%,0.85,0.045,0.25
ammo_7.62x54_ap,ammo-7.62x54-ap,ammo-7.62x54-ap_descr,0.33,10,9500,,,,,,,80,1,0.85,90%,100%,5%,125%,170%,40%,0.85,0.08,0.05
